City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,east london,-33.0153,27.9116,66.45,69,88,18.32,ZA,1680574144
284,la ronge,55.1001,-105.2842,16.27,94,98,5.14,CA,1680574145
285,caravelas,-17.7125,-39.2481,77.0,73,100,8.3,BR,1680574146
286,port hardy,50.6996,-127.4199,41.38,74,61,11.9,CA,1680574146
287,surab,28.4914,66.2585,53.98,36,0,4.09,PK,1680574147
288,gat,31.61,34.7642,68.4,33,0,8.61,IL,1680574148
289,lakhimpur,27.95,80.7667,75.63,41,27,6.17,IN,1680574148
290,pevek,69.7008,170.3133,-4.02,80,100,8.97,RU,1680574148
291,bambous virieux,-20.3428,57.7575,75.22,81,85,6.82,MU,1680574151
292,chapais,49.7834,-74.8492,21.43,94,96,10.33,CA,1680574151
293,kummersbruck,49.4192,11.8883,30.11,75,6,4.07,DE,1680574152
294,ola,59.5833,151.2833,28.15,75,9,6.4,RU,1680574153
295,iquique,-20.2208,-70.1431,78.84,84,6,1.3,CL,1680574100
296,mukono,0.3533,32.7553,61.59,97,100,1.07,UG,1680574153
297,necochea,-38.5473,-58.7368,60.93,83,57,7.81,AR,1680574154
298,elko,41.0002,-115.5012,25.23,67,100,11.01,US,1680574155
299,murgab,37.4966,61.9714,50.81,75,100,10.02,TM,1680574156
300,carbonia,39.1672,8.5222,47.05,88,6,5.82,IT,1680573927
301,tilhar,27.9833,79.7333,75.74,40,24,4.23,IN,1680574157
302,hay river,60.8156,-115.7999,9.66,94,67,1.63,CA,1680574158
303,labrea,-7.2586,-64.7981,73.0,97,76,2.35,BR,1680574074
304,yulara,-25.2406,130.9889,83.62,35,100,7.18,AU,1680574159
305,rabo de peixe,37.8,-25.5833,54.91,82,20,8.05,PT,1680574159
306,wembley,-31.9333,115.8,72.68,69,20,8.05,AU,1680574160
307,hudson bay,52.85,-102.3842,9.43,92,100,5.14,CA,1680574160
308,ribnitz-damgarten,54.25,12.4667,30.11,61,100,2.26,DE,1680574100
309,bayir,37.2687,28.2167,57.72,45,86,25.26,TR,1680574162
